,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,champLevel,visionWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist
10,2,5,11,2,1,1,889,0,0,0,0,22365,4962,6843,10560,0,5195,3046,1403,746,2722,5,15575,445,445,51,31,15237,3847,9624,1765,7064,6525,0,0,50,0,11,7,25,9,0,0,0,0,0,0
11,2,5,3,0,1,0,438,0,0,0,0,13170,3228,4253,5688,0,3450,2017,1058,374,1310,4,9547,0,0,16,21,11257,745,10168,344,4040,3075,0,0,28,0,8,3,11,3,0,0,0,0,0,0
12,3,8,14,0,1,0,388,0,0,0,0,35437,8134,11127,16174,0,8531,4370,2832,1328,4226,9,18611,1155,474,69,44,20844,5719,14638,487,8651,7900,0,0,53,0,13,10,26,8,0,0,0,0,0,0
13,1,11,5,0,1,0,217,0,0,0,0,47747,19053,25693,3000,234,15408,8133,7274,0,1599,4,5222,694,694,62,26,15611,5018,9029,1563,7680,6575,0,0,53,0,12,13,40,7,0,0,0,0,0,0
14,3,3,11,2,1,1,1033,0,0,0,0,37134,15956,8159,13018,0,8549,5416,1933,1198,3960,5,17635,4240,544,65,35,18433,3649,14321,462,8612,7725,0,0,56,4,13,9,29,11,0,0,0,0,0,1
15,0,7,1,0,0,0,545,0,0,0,0,94467,3920,76898,13649,0,3789,106,2845,837,7755,1,9741,12909,0,26,0,22274,6011,15956,307,5926,5625,0,0,13,92,11,6,11,4,0,0,0,0,0,0
16,2,13,19,0,1,0,497,0,0,0,0,42573,15128,12227,15217,0,12745,7852,3168,1724,4881,5,54703,1309,682,124,68,43750,4611,33794,5345,11344,10175,0,0,89,0,18,11,63,20,0,0,0,0,0,0
17,3,9,19,2,1,1,283,0,0,0,0,19536,5265,6449,7821,0,6701,3676,2344,681,2679,5,18114,529,249,63,44,20144,8642,10062,1439,8867,7625,0,0,44,0,13,13,31,10,0,0,0,0,0,0
18,3,3,16,0,1,0,599,0,0,0,0,42322,21261,10922,10138,0,12001,7835,2760,1405,6133,5,28125,447,0,79,40,24769,8874,14155,1740,11223,9850,0,0,78,0,16,19,47,13,0,0,0,0,0,0
19,2,8,17,0,1,0,640,0,0,0,0,34806,10463,10258,14084,0,8080,4880,2219,981,6809,5,33961,1413,657,75,46,31415,11455,18732,1228,10325,9150,0,0,62,0,16,12,44,9,0,0,0,0,0,1
0,7,4,7,4,2,2,615,2,0,0,0,162730,6114,155969,646,931,17913,923,16372,617,3658,3,6642,1279,1279,12,5,17567,11076,6156,335,14306,12400,0,0,255,0,17,0,6,2,0,0,0,0,0,0
1,7,4,15,3,2,3,1374,1,0,0,0,274732,8828,258203,7700,1077,34650,2165,29760,2723,6369,3,13955,24751,3942,24,10,23507,12258,10248,1000,20363,17680,2,1,299,38,18,0,10,7,0,0,1,0,0,0
2,7,3,6,4,1,2,963,0,0,0,0,106155,1903,94778,9473,661,11564,556,10498,509,1366,3,4314,6824,2821,5,4,11594,5515,5551,528,10811,9400,1,0,203,8,13,0,4,0,1,0,0,0,0,0
3,1,5,4,0,1,0,561,0,0,0,0,60533,55949,4369,215,0,19018,17865,938,215,490,1,4178,592,533,39,61,9507,1947,7444,116,7742,7625,0,0,52,0,14,1,19,2,0,0,0,0,0,0
